9987,KRC Genk,GEN,KRC Genk,Genk,Genk,Genk,,,Genk,GENK,Genk
9993,Beerschot AC,BAC,,,,,,,,,
10000,SV Zulte-Waregem,ZUL,SV Zulte Waregem,Zulte-Waregem,Zulte-Waregem,Zulte-Waregem,Zulte-Waregem,,Zulte-Waregem,ZULTE,Waregem
9994,Sporting Lokeren,LOK,Sporting Lokeren,Lokeren,Lokeren,Lokeren,Lokeren,,Lokeren,LOKEREN,Lokeren
9984,KSV Cercle Brugge,CEB,Cercle Brugge,Cercle Brugge,Cercle Brugge,Cercle Brugge,Cercle Brugge,,Cercle Brugge,CERCLE,Cercle Brugge KSV
8635,RSC Anderlecht,AND,RSC Anderlecht,Anderlecht,Anderlecht,Anderlecht,Anderlecht,,Anderlecht,ANDERLECHT,Anderlecht
9991,KAA Gent,GEN,KAA Gent,Gent,Gent,Gent,,,Gent,AA GENT,Gent
9998,RAEC Mons,MON,R AEC Mons,Mons,,Mons,,,,MONS,
7947,FCV Dender EH,DEN,FCV Dender EH,FC Dender,,Dender,FCV Dender EH,,,,
9985,Standard de Liège,STL,Standard Liege,Standard Liege,Standard Liege,Standard Liege,Standard Liege,,St.Liege,STANDARD LIEGE,St. Liege
8203,KV Mechelen,MEC,Yellow Red KV Mechelen,KV Mechelen,KV Mechelen,KMechelen,Mechelen,,Mechelen,MECHELEN,KV Mechelen
8342,Club Brugge KV,CLB,Club Brugge,Club Brugge,Club Brugge,Brugge,Club Brugge,,Club Brugge,CLUB BRUGGE,Club Brugge KV
9999,KSV Roeselare,ROS,KSV Roeselare,Roeselare,Roeselare,Roeselare,Roeselare,,,ROESELARE,KSV Roeselare
8571,KV Kortrijk,KOR,KV Kortrijk,Kortrijk,Kortrijk,Kortrijk,Kortrijk,,Kortrijk,KORTRIJK,Kortrijk
4049,Tubize,TUB,FC Tubize,Tubize,Tubize,Tubize,Tubize,,,TUBIZE,Tubize
9996,Royal Excel Mouscron,MOU,R. Mouscron,Royal Excel Mouscron,,Royal Excel Mouscron,,,Mouscron,MOUSCRON,Mouscron
10001,KVC Westerlo,WES,KVC Westerlo,KVC Westerlo,Westerlo,Westerlo,Westerlo,,Westerlo,WESTERLO,Westerlo
9986,Sporting Charleroi,CHA,Royal Charleroi SC,Charleroi,Sporting Charleroi,Sporting Charleroi,Charleroi,,Charleroi,CHARLEROI,Charleroi
9997,Sint-Truidense VV,STT,St. Truidense VV,St Truiden,Sint-Truiden,StTruiden,Sint Truiden,,St Truiden,ST TRUIDEN,St. Truiden
9989,Lierse SK,LIE,SK Lierse,Lierse,Lierse,Lierse,Lierse,,Lierse,LIERSE,Lierse
6351,KAS Eupen,EUP,AS Eupen,Eupen,Eupen,Eupen,KAS Eupen,,Eupen,EUPEN,Eupen
1773,Oud-Heverlee Leuven,O-H,Heverlee Leuven,OH Leuven,OH Leuven,Oud-Heverlee,Leuven,,OH Leuven,OH LEUVEN,Leuven
8475,Waasland-Beveren,WAA,KV RS Waasland Beveren,Waasland,RS Waasland-Beveren,Waasland-Beveren,Red Star Waasland,,Waasland-Beveren,BEVEREN,Waasland-Beveren
8573,KV Oostende,OOS,KV Oostende,Oostende,KV Oostende,Oostende,Oostende,,Oostende,OOSTENDE,Oostende
